userId,gender,age,occupation
1,female,42,Other
2,male,32,Salesperson
3,male,40,Chef
4,female,61,Engineer
5,female,21,Student
6,female,72,Artist
7,male,27,Doctor
8,male,50,Chef
9,female,40,Engineer
10,male,26,Teacher
11,male,16,Student
12,female,15,Student
13,female,36,Teacher
14,female,23,Doctor
15,female,36,Other
16,male,28,Artist
17,female,30,Salesperson
18,male,38,Doctor
19,male,26,Salesperson
20,female,20,Student
21,male,31,Other
22,male,16,Student
23,female,32,Engineer
24,male,16,Student
25,female,25,Engineer
26,male,28,Teacher
27,male,69,Doctor
28,female,22,Lawyer
29,male,15,Student
30,male,38,Other
31,female,30,Engineer
32,male,21,Student
33,female,25,Engineer
34,male,35,Other
35,female,11,Student
36,female,21,Student
37,female,12,Student
38,female,23,Teacher
39,female,26,Lawyer
40,male,25,Salesperson
41,female,17,Student
42,male,46,Salesperson
43,male,20,Student
44,male,18,Student
45,male,31,Engineer
46,male,28,Teacher
47,male,24,Doctor
48,female,49,Athlete
49,male,40,Teacher
50,male,43,Doctor
51,male,51,Other
52,female,52,Other
53,female,40,Engineer
54,male,32,Doctor
55,female,42,Engineer
56,male,22,Engineer
57,female,16,Student
58,male,52,Other
59,male,50,Doctor
60,male,16,Student
61,female,37,Lawyer
62,female,37,Engineer
63,female,43,Chef
64,female,17,Student
65,female,49,Lawyer
66,male,17,Student
67,male,21,Student
68,female,22,Engineer
69,male,38,Salesperson
70,male,31,Engineer
71,male,26,Salesperson
72,male,21,Student
73,female,26,Lawyer
74,male,33,Engineer
75,female,41,Artist
76,male,27,Engineer
77,female,17,Student
78,male,16,Student
79,female,23,Artist
80,male,26,Engineer
81,female,13,Student
82,female,46,Teacher
83,female,15,Student
84,female,31,Other
85,female,18,Student
86,male,24,Artist
87,male,27,Other
88,male,15,Student
89,female,54,Engineer
90,male,22,Other
91,male,56,Writer
92,male,42,Other
93,female,39,Musician
94,female,26,Salesperson
95,female,29,Engineer
96,female,31,Salesperson
97,female,10,Student
98,female,50,Other
99,male,23,Pilot
100,male,17,Student
101,male,54,Teacher
102,female,27,Chef
103,male,29,Other
104,female,30,Pilot
105,male,22,Teacher
106,female,22,Artist
107,male,15,Student
108,male,52,Other
109,male,38,Lawyer
110,female,35,Lawyer
111,male,51,Lawyer
112,female,31,Other
113,male,43,Pilot
114,male,22,Pilot
115,male,41,Other
116,male,31,Engineer
117,male,20,Student
118,female,27,Artist
119,female,34,Engineer
120,female,17,Student
121,male,22,Doctor
122,female,41,Salesperson
123,male,21,Student
124,female,24,Other
125,male,17,Student
126,male,20,Student
127,female,12,Student
128,female,21,Student
129,male,38,Teacher
130,female,33,Lawyer
131,male,34,Artist
132,female,22,Lawyer
133,male,50,Engineer
134,male,15,Student
135,male,25,Engineer
136,male,39,Teacher
137,female,23,Other
138,female,44,Engineer
139,female,30,Engineer
140,male,38,Artist
141,female,27,Teacher
142,male,16,Student
143,female,34,Engineer
144,male,18,Student
145,female,30,Writer
146,male,19,Student
147,male,34,Other
148,male,32,Teacher
149,male,60,Lawyer
150,female,54,Salesperson
151,male,58,Artist
152,male,17,Student
153,male,54,Lawyer
154,female,15,Student
155,male,24,Doctor
156,female,40,Engineer
157,female,17,Student
158,female,34,Doctor
159,female,27,Engineer
160,female,41,Other
161,male,35,Salesperson
162,female,39,Chef
